RPM,R_IS
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
50,46
50,0
50,48
50,6
50,52
50,85
50,52
50,44
50,2808
50,151
70,53
70,0
70,0
70,3
70,53
70,57
70,53
70,45
70,48
70,61
90,60
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,47
90,47
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,6
60,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
